Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Oct 28, 2008",CLE,85,BOS,90
"Tue, Oct 28, 2008",MIL,95,CHI,108
"Tue, Oct 28, 2008",POR,76,LAL,96
"Wed, Oct 29, 2008",IND,94,DET,100
"Wed, Oct 29, 2008",NOH,108,GSW,103
"Wed, Oct 29, 2008",MEM,71,HOU,82
"Wed, Oct 29, 2008",LAL,117,LAC,79
"Wed, Oct 29, 2008",SAC,96,MIN,98
"Wed, Oct 29, 2008",MIA,115,NYK,120
"Wed, Oct 29, 2008",MIL,98,OKC,87
"Wed, Oct 29, 2008",ATL,99,ORL,85
"Wed, Oct 29, 2008",TOR,95,PHI,84
"Wed, Oct 29, 2008",PHX,103,SAS,98
"Wed, Oct 29, 2008",DEN,94,UTA,98
"Wed, Oct 29, 2008",BKN,95,WAS,85
"Thu, Oct 30, 2008",CHA,79,CLE,96
"Thu, Oct 30, 2008",HOU,112,DAL,102
"Thu, Oct 30, 2008",NOH,108,PHX,95
"Fri, Oct 31, 2008",CHI,80,BOS,96
"Fri, Oct 31, 2008",DEN,113,LAC,103
"Fri, Oct 31, 2008",ORL,84,MEM,86
"Fri, Oct 31, 2008",SAC,77,MIA,103
"Fri, Oct 31, 2008",NYK,87,PHI,116
"Fri, Oct 31, 2008",SAS,99,POR,100
"Fri, Oct 31, 2008",GSW,108,TOR,112
"Sat, Nov 1, 2008",PHI,88,ATL,95
"Sat, Nov 1, 2008",MIA,87,CHA,100
"Sat, Nov 1, 2008",MEM,86,CHI,96
"Sat, Nov 1, 2008",LAL,104,DEN,97
"Sat, Nov 1, 2008",WAS,109,DET,117
"Sat, Nov 1, 2008",OKC,77,HOU,89
"Sat, Nov 1, 2008",BOS,79,IND,95
"Sat, Nov 1, 2008",TOR,91,MIL,87
"Sat, Nov 1, 2008",DAL,95,MIN,85
"Sat, Nov 1, 2008",GSW,105,BKN,97
"Sat, Nov 1, 2008",CLE,92,NOH,104
"Sat, Nov 1, 2008",SAC,103,ORL,121
"Sat, Nov 1, 2008",POR,96,PHX,107
"Sat, Nov 1, 2008",LAC,79,UTA,101
"Sun, Nov 2, 2008",MIL,94,NYK,86
"Sun, Nov 2, 2008",MIN,85,OKC,88
"Mon, Nov 3, 2008",DET,101,CHA,83
"Mon, Nov 3, 2008",CLE,100,DAL,81
"Mon, Nov 3, 2008",UTA,89,LAC,73
"Mon, Nov 3, 2008",GSW,79,MEM,90
"Mon, Nov 3, 2008",CHI,93,ORL,96
"Mon, Nov 3, 2008",SAC,91,PHI,125
"Tue, Nov 4, 2008",BOS,103,HOU,99
"Tue, Nov 4, 2008",PHX,114,BKN,86
"Tue, Nov 4, 2008",DAL,98,SAS,81
"Wed, Nov 5, 2008",CHI,93,CLE,107
"Wed, Nov 5, 2008",DEN,101,GSW,111
"Wed, Nov 5, 2008",PHX,113,IND,103
"Wed, Nov 5, 2008",LAC,88,LAL,106
"Wed, Nov 5, 2008",PHI,83,MIA,106
"Wed, Nov 5, 2008",WAS,104,MIL,112
"Wed, Nov 5, 2008",SAS,129,MIN,125
"Wed, Nov 5, 2008",ATL,87,NOH,79
"Wed, Nov 5, 2008",CHA,98,NYK,101
"Wed, Nov 5, 2008",BOS,96,OKC,83
"Wed, Nov 5, 2008",MEM,95,SAC,100
"Wed, Nov 5, 2008",DET,100,TOR,93
"Wed, Nov 5, 2008",POR,96,UTA,103
"Thu, Nov 6, 2008",PHI,88,ORL,98
"Thu, Nov 6, 2008",HOU,99,POR,101
"Fri, Nov 7, 2008",TOR,92,ATL,110
"Fri, Nov 7, 2008",MIL,89,BOS,101
"Fri, Nov 7, 2008",NOH,89,CHA,92
"Fri, Nov 7, 2008",PHX,83,CHI,100
"Fri, Nov 7, 2008",IND,107,CLE,111
"Fri, Nov 7, 2008",DAL,105,DEN,108
"Fri, Nov 7, 2008",MEM,109,GSW,104
"Fri, Nov 7, 2008",HOU,92,LAC,83
"Fri, Nov 7, 2008",DET,96,BKN,103
"Fri, Nov 7, 2008",MIN,109,SAC,121
"Fri, Nov 7, 2008",MIA,99,SAS,83
"Fri, Nov 7, 2008",OKC,97,UTA,104
"Fri, Nov 7, 2008",NYK,114,WAS,108
"Sat, Nov 8, 2008",CLE,106,CHI,97
"Sat, Nov 8, 2008",BKN,80,IND,98
"Sat, Nov 8, 2008",PHX,104,MIL,96
"Sat, Nov 8, 2008",MIA,89,NOH,100
"Sat, Nov 8, 2008",WAS,81,ORL,106
"Sat, Nov 8, 2008",MIN,93,POR,97
"Sun, Nov 9, 2008",TOR,89,CHA,79
"Sun, Nov 9, 2008",MEM,90,DEN,100
"Sun, Nov 9, 2008",BOS,88,DET,76
"Sun, Nov 9, 2008",DAL,92,LAC,103
