,a,b,c,d,team
BOS,0.46,0.09,0.01,0.0,East
CHA,0.13,0.07,0.02,0.0,East
CHI,0.54,0.06,0.01,0.0,East
CLE,0.42,0.06,0.0,0.0,East
DEN,0.5,0.36,0.08,0.01,West
DET,0.58,0.12,0.02,0.0,East
GSW,0.61,0.25,0.02,0.0,West
HOU,0.73,0.46,0.36,0.12,West
LAC,0.79,0.42,0.38,0.1,West
LAL,0.39,0.08,0.01,0.0,West
NYK,0.87,0.78,0.48,0.38,East
OKC,0.27,0.09,0.04,0.0,West
POR,0.5,0.31,0.09,0.02,West
SAC,0.21,0.03,0.02,0.01,West
TOR,0.8,0.7,0.43,0.34,East
WAS,0.2,0.12,0.03,0.02,East
