Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Sun, Dec 25, 2011",MIA,105,DAL,94
"Sun, Dec 25, 2011",LAC,105,GSW,86
"Sun, Dec 25, 2011",CHI,88,LAL,87
"Sun, Dec 25, 2011",BOS,104,NYK,106
"Sun, Dec 25, 2011",ORL,89,OKC,97
"Mon, Dec 26, 2011",MIL,95,CHA,96
"Mon, Dec 26, 2011",TOR,104,CLE,96
"Mon, Dec 26, 2011",DEN,115,DAL,93
"Mon, Dec 26, 2011",CHI,91,GSW,99
"Mon, Dec 26, 2011",DET,79,IND,91
"Mon, Dec 26, 2011",OKC,104,MIN,100
"Mon, Dec 26, 2011",HOU,95,ORL,104
"Mon, Dec 26, 2011",NOH,85,PHX,84
"Mon, Dec 26, 2011",PHI,103,POR,107
"Mon, Dec 26, 2011",LAL,91,SAC,100
"Mon, Dec 26, 2011",MEM,82,SAS,95
"Mon, Dec 26, 2011",BKN,90,WAS,84
"Tue, Dec 27, 2011",UTA,71,LAL,96
"Tue, Dec 27, 2011",BOS,107,MIA,115
"Tue, Dec 27, 2011",MIN,95,MIL,98
"Tue, Dec 27, 2011",ATL,106,BKN,70
"Tue, Dec 27, 2011",SAC,79,POR,101
"Wed, Dec 28, 2011",WAS,83,ATL,101
"Wed, Dec 28, 2011",MIA,96,CHA,95
"Wed, Dec 28, 2011",UTA,100,DEN,117
"Wed, Dec 28, 2011",CLE,105,DET,89
"Wed, Dec 28, 2011",NYK,78,GSW,92
"Wed, Dec 28, 2011",OKC,98,MEM,95
"Wed, Dec 28, 2011",BOS,78,NOH,97
"Wed, Dec 28, 2011",PHI,103,PHX,83
"Wed, Dec 28, 2011",LAC,90,SAS,115
"Wed, Dec 28, 2011",IND,90,TOR,85
"Thu, Dec 29, 2011",SAS,85,HOU,105
"Thu, Dec 29, 2011",NYK,82,LAL,99
"Thu, Dec 29, 2011",DAL,102,OKC,104
"Thu, Dec 29, 2011",BKN,78,ORL,94
"Thu, Dec 29, 2011",DEN,102,POR,111
"Thu, Dec 29, 2011",CHI,108,SAC,98
"Fri, Dec 30, 2011",BKN,98,ATL,105
"Fri, Dec 30, 2011",DET,85,BOS,96
"Fri, Dec 30, 2011",ORL,100,CHA,79
"Fri, Dec 30, 2011",TOR,86,DAL,99
"Fri, Dec 30, 2011",CLE,91,IND,98
"Fri, Dec 30, 2011",CHI,114,LAC,101
"Fri, Dec 30, 2011",HOU,93,MEM,113
"Fri, Dec 30, 2011",WAS,81,MIL,102
"Fri, Dec 30, 2011",MIA,103,MIN,101
"Fri, Dec 30, 2011",PHX,93,NOH,78
"Fri, Dec 30, 2011",PHI,99,UTA,102
"Sat, Dec 31, 2011",IND,88,DET,96
"Sat, Dec 31, 2011",PHI,107,GSW,79
"Sat, Dec 31, 2011",ATL,84,HOU,95
"Sat, Dec 31, 2011",DEN,89,LAL,92
"Sat, Dec 31, 2011",PHX,97,OKC,107
"Sat, Dec 31, 2011",NYK,114,SAC,92
"Sat, Dec 31, 2011",UTA,89,SAS,104
"Sun, Jan 1, 2012",MEM,64,CHI,104
"Sun, Jan 1, 2012",BKN,82,CLE,98
"Sun, Jan 1, 2012",LAL,90,DEN,99
"Sun, Jan 1, 2012",POR,88,LAC,93
"Sun, Jan 1, 2012",CHA,90,MIA,129
"Sun, Jan 1, 2012",DAL,82,MIN,99
"Sun, Jan 1, 2012",TOR,96,ORL,102
"Sun, Jan 1, 2012",NOH,80,SAC,96
"Sun, Jan 1, 2012",BOS,94,WAS,86
"Mon, Jan 2, 2012",WAS,92,BOS,100
"Mon, Jan 2, 2012",OKC,87,DAL,100
"Mon, Jan 2, 2012",MIL,86,DEN,91
"Mon, Jan 2, 2012",ORL,78,DET,89
"Mon, Jan 2, 2012",ATL,100,MIA,92
"Mon, Jan 2, 2012",SAS,96,MIN,106
"Mon, Jan 2, 2012",IND,108,BKN,94
"Mon, Jan 2, 2012",TOR,90,NYK,85
"Mon, Jan 2, 2012",GSW,91,PHX,102
"Mon, Jan 2, 2012",NOH,90,UTA,94
"Tue, Jan 3, 2012",ATL,74,CHI,76
"Tue, Jan 3, 2012",CHA,101,CLE,115
"Tue, Jan 3, 2012",HOU,99,LAL,108
"Tue, Jan 3, 2012",SAC,96,MEM,113
"Tue, Jan 3, 2012",POR,103,OKC,93
"Tue, Jan 3, 2012",MIL,73,UTA,85
"Wed, Jan 4, 2012",BKN,70,BOS,89
"Wed, Jan 4, 2012",PHX,89,DAL,98
"Wed, Jan 4, 2012",SAC,83,DEN,110
"Wed, Jan 4, 2012",CHI,99,DET,83
"Wed, Jan 4, 2012",HOU,89,LAC,117
"Wed, Jan 4, 2012",IND,83,MIA,118
"Wed, Jan 4, 2012",MEM,90,MIN,86
"Wed, Jan 4, 2012",PHI,101,NOH,93
"Wed, Jan 4, 2012",CHA,118,NYK,110
"Wed, Jan 4, 2012",WAS,85,ORL,103
"Wed, Jan 4, 2012",GSW,95,SAS,101
"Wed, Jan 4, 2012",CLE,77,TOR,92
"Thu, Jan 5, 2012",MIA,116,ATL,109
"Thu, Jan 5, 2012",LAL,96,POR,107
"Thu, Jan 5, 2012",MIL,100,SAC,103
"Thu, Jan 5, 2012",DAL,71,SAS,93
"Fri, Jan 6, 2012",IND,87,BOS,74
"Fri, Jan 6, 2012",ATL,102,CHA,96
"Fri, Jan 6, 2012",GSW,90,LAL,97
"Fri, Jan 6, 2012",CLE,98,MIN,87
"Fri, Jan 6, 2012",DEN,96,NOH,88
