,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
285,CHI,29.4033133,48.16667964,Nazr Tahiru Mohammed,35.62009768,20.84378582,38.62966779,23.12078023
286,HOU,59.68463559,52.27715462,Gregory Smith,51.68885008,29.57331135,62.13927814,35.86341393
287,CLE,8.608217593,8.608217593,Henry Sims,8.608217593,1.77E-15,8.608217593,1.77E-15
288,MIN,62.9129758,31.33801796,Dante Cunningham,52.69746473,16.07414125,49.26305244,18.72500807
289,SAS,26.01398528,26.50580973,Nando De Colo,25.21132672,8.574797101,26.01344808,9.062102532
290,DAL,,,DeShane Larkin,,,,
291,PHO,29.28564551,36.0957526,Viacheslav Kravtsov,21.37442347,10.30259596,22.66441107,10.74977218
292,MIA,97.74811305,17.29601815,LeBron Raymone James,90.33437146,9.801192169,90.14065354,11.89547994
293,UTA,,,Michael Harris,,,15.05902681,8.861890383
294,POR,33.36064154,28.74808039,Victor Claver,23.82771607,13.26117805,30.26847513,14.94638514
295,GSW,40.51744733,24.77000242,Marreese Speights,35.28066565,14.92047847,42.53927597,18.69209582
296,LAL,39.13033319,33.93119909,Wesley JaMarr Johnson,48.08887297,15.18878337,44.60970669,16.98557724
297,SAS,52.12859885,30.17544628,Marco Stefano Belinelli,46.19561547,16.65562386,43.04556659,19.97386323
298,DEN,90.54181547,50.02515479,Kenneth Bernard Faried,82.07072482,29.21244892,79.35465992,35.98541099
299,MEM,89.49678361,31.8223811,Zachary Randolph,82.3041471,17.58288941,83.74082922,21.0954616
300,LAL,,,Jordan Robert Farmar,,,39.81629515,11.49597013
301,ATL,49.89099758,41.41842205,DeMarre LaEdrick Carroll,35.19111967,17.00010392,27.28154737,18.64283493
302,IND,41.68947643,32.20398675,Ian Mahinmi,34.57947595,17.91097349,33.91797743,21.55178456
303,POR,79.4238488,31.90661823,Wesley Matthews Jr.,81.58089227,18.02964035,71.6856483,21.8530667
304,HOU,89.4128245,52.49337632,Omer Faruk Asik,56.25212178,24.99368835,57.91088574,28.4221135
305,MIL,38.85000505,28.52480019,James Khristian Middleton,40.58236167,16.01917733,33.53281723,19.36045943
306,CLE,64.84504581,38.6890201,Tyler Paul Zeller,53.53256605,15.05364489,59.39317084,16.34137317
307,OKC,73.29020178,17.63915632,Russell Westbrook,68.03342461,7.948837358,69.59319941,8.904186882
308,SAC,,,Ben McLemore,,,,
309,CLE,95.37765385,55.41173877,Tristan Trevor James Thompson,81.13589759,19.70685714,81.08050647,21.08538896
310,OKC,31.26683254,26.90021417,Derek Lamar Fisher,44.25997513,15.18800119,53.22291152,18.40164397
311,CHA,69.07735822,27.77346234,Jerome McKinley Henderson Jr.,55.20450825,18.88883672,49.259684,25.76514577
312,GSW,7.469672185,12.29111761,Kenneth Lamont Bazemore Jr.,7.265264069,4.195010338,6.769813774,4.463000647
313,PHI,64.93434555,27.52112785,Evan Marcel Turner,56.04588537,11.95842602,50.97012147,13.27735699
314,NOP,36.20634978,48.22192577,Lance Thomas,30.78548387,15.48683269,33.37844697,16.35312648
315,OKC,97.28585048,44.38227678,Sergeballu Ibaka,89.99823591,24.10127961,82.3420185,28.70198108
316,BOS,61.76805945,28.80047024,Jeffrey Lynn Green,71.39897214,16.28701908,70.149498,19.74806765
317,CLE,47.79137687,26.34067857,Calvin Miles Jr.,41.87542625,12.52780429,41.88512743,14.24167578
318,SAC,29.31403495,19.90127437,James Taft Fredette,28.27962128,9.863548144,29.89811453,11.35650598
319,WAS,23.5692805,22.25854088,Eric Demarqua Maynor,24.41727377,9.488646188,24.65524099,10.48949695
320,TOR,54.08708376,52.17731979,Landry Fields,58.51296101,26.47271918,66.35021502,30.72029758
321,SAS,31.96534971,33.26386296,Cory Ephram Joseph,18.9621699,14.48143408,18.65117121,16.08581531
322,POR,17.93955824,21.49756974,Joel Freeland,22.52041345,7.856794542,18.74059479,8.440708404
323,ORL,39.01983928,24.91319551,Andrew Nicholson,40.37254648,10.06215361,38.35443737,10.99919467
324,CHI,60.28570386,41.84710546,Taj Jami Gibson,65.23029598,17.24277074,66.21063149,18.92387732
325,MIA,9.126729418,16.52193056,James Andrew Jones,32.76513387,13.87239873,36.70519332,25.54062391
326,LAL,24.38877833,23.44665992,Xavier Henry,26.79039319,11.8968327,24.92527192,13.80606339
327,IND,60.88025592,29.128979,Lance Stephenson Jr.,51.58585375,19.4021656,38.08716336,26.01236924
328,NYK,68.83375063,23.40921287,Amar'e Carsares Stoudemire,74.28627234,11.95462808,88.64866427,13.90443962
329,PHO,34.54693028,27.52935607,Gerald Green,39.20082372,13.79949597,29.00175656,15.9477548
330,LAL,,,Ryan Kelly,,,,
331,WAS,31.36572907,30.32471736,Christopher Carl Singleton Jr.,32.73695279,11.13726961,35.20716587,11.97407115
332,TOR,71.30684481,23.09417777,Rudy Carlton Gay Jr.,79.35890825,10.00208482,82.34132943,11.09683225
333,NOP,,,Arinze Onuaku,,,,
334,MIN,45.2355423,27.34230208,Anthony Jordan Price,24.91138902,12.86699577,30.05030964,14.5826049
335,OKC,68.87468476,54.79128667,Nicholas John Collison,81.22765396,22.19216645,87.63427568,24.27222373
336,DEN,70.843995,28.27550941,Tywon Ronnell Lawson,68.32280852,15.20785266,62.39850783,18.03922672
337,CHA,61.16438894,36.70170991,Michael Anthony Edward Kidd-Gilchrist,61.05109274,13.02574083,60.06883754,13.93274701
338,ATL,56.39917363,35.53126556,Elton Tyron Brand,53.34738317,20.09994302,70.31244661,24.37500317
339,LAL,62.43890725,56.40188236,Jordan Craig Hill,47.92990495,22.75751497,42.10686761,24.87201739
340,CLE,54.68302605,21.62822007,Dion Waiters,52.91145592,6.165807013,52.79498799,6.432744969
341,UTA,8.183187291,17.76332724,Andris Biedrins,10.80414526,16.42110794,74.2997173,43.06265766
342,NYK,24.17298503,41.5451284,Cole David Aldrich,18.47939133,15.18069669,19.73295117,16.30843138
343,LAL,51.81368573,32.19689196,Nicholas Young,49.48150646,15.96765391,45.59376525,18.38832882
344,LAC,67.78738641,32.31618398,Matt Kelly Barnes,51.26194928,15.94302517,54.96638528,18.32881832
345,POR,77.92638068,38.01895558,Robin Byron Lopez,68.99602545,20.70006359,51.9746975,24.67870767
346,LAC,36.4376372,37.02078356,Ryan Kenwood Hollins,36.75133326,17.87519063,37.06866833,20.4122853
347,DAL,70.3960158,22.65547802,Monta Ellis,79.05046492,11.35840269,79.41076679,13.12742021
348,CHI,,,Erik Murphy,,,,
349,MIN,42.90964905,25.2638713,Alexey Viktorovich Shved,38.17241142,10.32654008,43.11542703,11.31492621
350,NYK,,,Timothy Duane Hardaway Jr.,,,,
351,HOU,88.45013938,24.20716879,James Edward Harden Jr.,76.79243327,15.14562028,70.07397959,19.41521006
352,UTA,52.12078291,32.15733328,Marvin Gaye Williams Jr.,71.36228686,13.73507374,72.14084588,15.19039809
353,GSW,86.82763601,27.40399201,Wardell Stephen Curry II,75.33045552,15.03708809,74.86903396,17.98679848
354,POR,83.72368454,32.14675175,Nicolas Batum,79.38140264,19.20541873,74.4056123,23.94925278
355,NYK,54.99064763,33.15757334,Andrea Bargnani,72.04777211,17.18246481,66.8193861,20.09044347
356,ORL,4.20E-22,2.07E-21,Solomon Jones III,14.9821989,2.07E-21,27.5612657,24.00379725
357,BOS,,,Phil Pressey,,,,
358,DET,55.23366543,26.10660766,Rodney Norvell Stuckey,60.76842708,13.41073055,58.68316695,15.63067317
359,BRK,50.42461938,30.14151967,Andray Blatche,56.80292721,15.42256979,56.5986555,17.95031722
360,PHO,45.57526157,34.32651351,Marcus Morris,37.17062621,17.51592798,29.99619566,20.36707687
361,PHI,23.86901148,27.14634159,James Lee Anderson,32.311238,11.47186841,24.79161974,12.65764526
362,NOP,80.65623298,32.0286333,Ryan James Anderson,77.23829199,20.59202139,65.7146268,26.88503291
363,MIA,23.12571868,40.91380362,Joel Vincent Anthony,28.41617922,28.52863924,51.58745472,39.80040861
364,PHO,5.772104048,7.972353885,Miles Christian Plumlee,23.51409848,4.360826815,4.759064135,5.209216691
365,PHI,58.91118326,42.92058889,Lavoy Allen,53.84081587,15.89278263,52.38304161,17.10890358
366,WAS,80.36993198,41.32959254,Marcin Gortat,72.78791319,23.6524916,60.04019871,28.84268464
367,ORL,,,Kehinde Babatunde Victor Oladipo,,,,
368,SAS,80.62978567,31.71837245,Kawhi Leonard,74.64614431,14.45584104,76.26595381,16.24060726
369,NYK,71.77100246,24.80592802,Earl Smith III,57.73134124,11.39041229,58.1195133,12.8220925
370,CHA,78.48437663,24.56573919,Al Jefferson,80.67134521,10.74045585,83.26683892,11.94235763
371,MIA,29.99287881,29.32065838,Rashard Quovon Lewis,58.45178669,20.04533339,70.55462491,27.46682754
372,IND,38.30280997,33.32917275,Christopher Stephen Copeland,30.56845382,18.39414435,36.80343322,22.05758258
373,DAL,36.84588783,28.59498741,Corey Jae Crowder,36.5583266,7.621808951,36.44646727,7.907893767
374,LAC,89.93037195,52.19723618,Hyland DeAndre Jordan Jr.,99.76786943,31.17534779,77.35264365,38.86971186
375,UTA,36.29170799,24.25098138,Alec Burks,35.07879371,12.98438406,30.57083647,15.37363176
376,HOU,91.28571507,27.81250684,Dwight David Howard,95.32465374,12.32626767,98.11900067,13.75044312
377,GSW,23.70424381,24.49227913,Draymond Jamal Green,23.04686756,9.648284332,19.70113918,10.49708115
378,MIN,67.46906402,25.32669569,Kevin Dallas Martin Jr.,80.91017707,14.48922365,80.0947433,17.66571743
379,IND,62.518821,27.07862985,Luis Alberto Scola,62.9239779,15.09977986,72.41071858,18.19050004
380,CHA,70.36840629,22.08474399,Kemba Hudley Walker,60.24656329,11.19038562,60.47951975,12.98006045
381,BRK,,,Mason Alexander Plumlee,,,,
382,ATL,8.661374137,17.01118372,Jared Armon Cunningham,4.9751961,5.260530651,5.501278366,5.531670006
383,ATL,64.90552587,25.74059033,Jeffrey Demarco Teague,50.5945671,17.18908905,41.62422378,23.09252163
384,DEN,22.27566355,19.71999042,Jordan Christian Hamilton,21.74927894,6.378982721,19.49126821,6.741431062
385,WAS,25.83239656,30.68022819,Jan Vesely,47.76362399,20.31444386,40.1995784,27.10815979
386,OKC,12.83819576,16.58896718,Jeremy Emmanuel Lamb,31.65445151,11.04684714,18.11402523,14.8075632
387,WAS,62.43924945,48.28769357,Trevor Fitzgerald Booker,50.4242383,24.73961954,55.7948188,28.80773553
388,DET,45.63872234,28.28293435,Jonas Jerebko,36.60789061,19.70394768,60.35672011,27.46619179
389,PHO,48.98987929,32.60741286,Markieff Morris,49.08453233,12.80405261,46.24906119,13.9223193
390,SAC,25.09884166,23.33606243,Travis Marquez Outlaw,43.50251847,14.97242545,47.30729413,19.51976771
391,CLE,,,Matthew Dellavedova,,,,
392,MIL,35.19707879,35.84155548,John Allen Henson,40.90413824,16.12994156,35.18238913,18.06242004
393,DAL,,,Gal Mekel,,,,
394,PHO,13.35878076,19.04796536,Ishmael Larry Smith,13.72172297,8.580819031,13.16645405,9.611303668
395,WAS,57.03336291,31.06936554,Trevor Anthony Ariza,65.67498372,15.39646519,61.83423844,17.72604591
396,NYK,,,Toure' Murry,,,,
397,HOU,86.71647007,32.36614195,Chandler Parsons,81.15208675,16.87120956,76.48875073,19.76946741
398,NOP,60.05120944,18.5390544,Eric Gordon Jr.,69.57686236,13.31829852,74.00779458,19.14541512
399,MIN,44.50602297,19.4348597,Jose Juan Barea,36.33518273,11.73179611,37.82404814,14.71529838
400,SAC,72.28104205,34.86506202,Jason Carlton Thompson,66.25160601,19.07409929,76.52847345,22.78652411
401,DET,,,Kentavious Tannell Caldwell-Pope,,,,
402,ATL,94.93813009,27.28079357,Alfred Joel Horford,92.09605361,11.45360973,94.62650981,12.61970264
403,SAC,55.85113845,31.8923202,Marcus Terrell Thornton,59.61504242,17.02463122,60.77302545,20.13318127
404,POR,79.79803996,23.48416177,Damian Lamonte Ollie Lillard,77.30798351,6.425570786,77.51270796,6.680499451
405,PHO,,,Channing Thomas Frye,,,53.29300735,25.81268467
406,SAS,35.00921668,31.95019449,Matthew Robert Bonner,41.95039891,19.25460045,50.0872093,24.12827023
407,WAS,21.28986719,14.22303991,Albert Harrington,47.69513194,10.67989145,62.5261491,16.17109232
408,DAL,67.48314622,27.26713615,Jose Manuel Calderon,68.92170075,14.99284589,65.57394023,17.94984715
409,NYK,69.11030316,23.46111875,Raymond Bernard Felton Jr.,65.16545322,9.72976636,66.97388536,10.69264273
410,DET,36.07010924,23.2769355,William Bynum,33.34205648,13.11113912,34.88268964,15.86777331
411,CLE,73.12796925,22.20371314,Kyrie Andrew Irving,67.72593991,10.44422354,68.1706239,11.83531062
412,CLE,,,Andrew Bynum,,,92.37344587,25.1014838
413,ATL,,,Dennis Schroeder,,,,
414,BOS,53.18653234,23.58462671,Avery Antonio Bradley Jr.,46.16150577,17.34650807,30.89876826,25.60279398
415,BRK,80.79348978,32.39766701,Andrei Kirilenko,71.89928317,13.4288886,74.93479371,14.7562335
416,IND,76.10475847,26.71127439,Paul George,66.74318286,14.51003492,59.6374468,17.28224668
417,SAS,71.34423171,22.07683796,Timothy Theodore Duncan,71.66360582,12.38481768,78.12219171,14.9606775
418,LAL,73.64772948,29.85442825,Stephen John Nash,64.34895898,11.06246835,69.36072872,11.91031966
