,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
66,BRK,71.55085049,20.83317445,Paul Anthony Pierce,74.81748303,9.060194137,80.1610315,10.06149039
67,CHI,10.99460742,16.5054116,Marquis Devante Teague,8.497479379,6.739045109,8.999506026,7.382415992
68,BOS,48.600281,28.68571401,Jordan Lee Crawford,48.24689012,17.22127277,41.56704194,21.53352206
69,MIL,72.40256938,37.70748851,Ersan Ilyasova,63.6597315,18.49293502,68.80403874,21.22015289
70,BOS,25.24557712,26.0509008,Marshon Scitif Brooks,31.09712305,15.39234368,42.55035019,19.07881578
71,TOR,49.01840895,32.20796778,Andrew Tyler Hansbrough,54.88897247,13.14845154,50.09704139,14.4033202
72,HOU,29.71488901,31.0309634,Donatas Motiejunas,22.35379203,15.49836943,23.59578154,17.88940353
73,NYK,187.3231912,135.9095993,Tyson Cleotis Chandler,137.2754702,51.65649826,136.755651,55.84765934
74,OKC,30.06382886,20.86664785,Reggie Jackson,29.13618438,10.99331566,23.27697194,12.93382181
75,CHI,79.73809494,56.92868584,Jimmy Butler,61.69841351,27.78001771,56.99531361,31.82660407
76,LAL,48.25641908,26.36002985,Christopher Zane Kaman,54.5724405,15.88689159,65.84445034,19.90897392
77,BOS,54.43923704,31.39314071,Courtney Lee,55.15417401,14.55361678,59.28008131,16.42530198
78,CHI,86.2470401,26.16798524,Luol Deng,82.78350986,12.35631927,82.02082475,14.01744855
79,HOU,61.65270207,23.7790764,Jeremy Shu-How Lin,53.57473604,17.13722078,40.12843326,24.71966019
80,PHO,42.71310971,25.77434996,Eric Bledsoe,46.17630601,14.30242564,33.52310987,17.19225707
81,MIA,37.05039264,24.86385954,Michael Paul Beasley,51.30223808,13.44412928,55.67853828,15.98190794
82,CHI,100.4559313,45.4159741,Joakim Simon Noah,92.73390185,27.03381097,98.25662102,33.64333559
83,SAS,23.14641155,24.84449127,Jeff Curtis Ayres,22.93945849,15.04839687,22.21738883,18.91237735
84,LAC,77.16794495,23.3872205,Christopher Emmanuel Paul,80.1507758,10.57966138,81.25753931,11.86285857
85,MIA,61.31140401,60.99174473,Udonis Johneal Haslem,70.54252682,23.09523085,76.79218077,24.9533793
86,PHI,26.29611264,28.56855363,Darius Aaron Morris,18.49017705,11.52762174,15.9596858,12.5988187
87,SAS,61.08189744,43.6768373,Boris Babacar Diaw,67.84991831,14.78560773,68.96357099,15.71335286
88,LAL,,,Shawne Brian Williams,,,34.92387298,17.02174728
89,BOS,39.21196988,38.63979598,Keith Ramon Bogans,37.94448838,17.27410746,47.42219433,19.31132572
90,DET,,,Luigi Datome,,,,
91,DET,41.10095906,18.31167109,Chauncey Ray Billups,51.6408926,11.84219124,70.96451257,15.52579663
92,BRK,95.58833578,86.80695221,Reginald Jamaal Evans,60.65729725,42.00502271,69.7011017,47.99867554
93,DET,,,Tony Mitchell,,,,
94,MEM,16.42635883,25.20855084,Jon Leuer,24.97423907,16.98629395,27.39560299,22.98906445
95,LAC,62.89721171,25.53334007,Darren Michael Collison,50.8860141,14.95709543,59.62850044,18.45495226
96,UTA,,,Rudy Gobert,,,,
97,MIN,24.71789098,33.7130302,Ronny Turiaf,30.70716605,19.2431021,45.54625623,23.43589577
98,DEN,33.5374495,61.64310453,Timofey Pavlovich Mozgov,37.46382833,25.21480206,35.22264863,27.63222905
99,SAC,62.67782461,25.71895138,Greivis Josue Vasquez,47.29733066,16.07473586,42.37416024,20.5924635
100,UTA,,,Alfonso Clark Burke III,,,,
101,GSW,46.43899249,28.31967595,Jermaine O'Neal,48.62374958,16.19845205,53.4251364,19.74786322
102,BRK,23.50570949,29.89806136,Mizra Teletovic,23.01827062,10.82840577,22.01148306,11.61710077
103,PHO,68.28771171,21.88099419,Goran Dragic,58.29478091,15.48464061,42.25862861,21.91622584
104,SAC,58.4140244,34.85009247,John Rashall Salmons,63.41842392,14.67126241,68.52043222,16.17436238
105,PHO,,,Olexiy Len,,,,
106,LAC,81.2676079,23.50924796,Blake Austin Griffin,88.98805299,11.0815828,88.49217386,12.56508019
107,MIN,,,Shabazz Naige Muhammad,,,,
108,MIL,64.49091929,26.91601454,Lukas Robin Ridnour,47.13769926,13.21532929,53.29385209,15.16965652
109,NOP,13.9123934,26.52623487,Joshua Malik Childress,20.18175071,20.55507639,50.51297073,32.51929575
110,NOP,70.29498547,23.34100695,Jrue Randall Holiday,61.90397573,13.24679702,61.51504944,16.08889181
111,LAL,9.391900144,17.35680476,Robert Gregory Sacre,8.278956966,6.848839014,7.271325584,7.453651672
112,NYK,75.70292806,28.07643415,Metta World Peace,61.18324874,13.45093625,69.65243798,15.32399205
113,ATL,34.9737955,28.26452464,John Logan Jenkins III,32.15798977,16.18759942,34.28948848,19.74693457
114,NYK,39.6556209,41.50459823,Pablo Prigioni,40.41894336,15.06260914,40.34771527,16.1646755
115,PHI,65.10561014,31.57385021,Spencer Mason Hawes,66.1016006,17.42719722,56.3430798,20.89900251
116,DAL,47.3124615,31.20197236,Wayne Robert Ellington Jr.,36.74251295,12.92025596,41.15773858,14.1943648
117,UTA,17.65673858,30.43174067,Jeremy Evans,37.21791398,16.55039484,23.6390984,19.72209243
118,DEN,56.9769472,29.17230364,Wilson Jamall Chandler,58.52156058,19.75027199,59.54503725,26.83594359
119,MIA,35.48011201,23.86907705,Norris Gene Cole II,35.22526134,8.885594124,33.90107808,9.573683975
120,MIL,43.73804841,26.57791251,Gary Neal,43.89442399,11.51775402,43.86694965,12.78015459
121,MIL,59.10114069,28.59677573,Brandon Emmanuel Knight,58.14736432,5.629967743,58.90145918,5.742352734
122,NOP,79.03954761,29.85213491,Anthony Marshon Davis,86.26043107,12.06148413,82.89889463,13.1856835
123,TOR,99.41128357,90.09833347,Amir Jalla Johnson,77.18723993,29.99481701,75.54578675,31.80928555
124,MIA,54.06667892,51.645882,Christopher Claus Andersen,65.20832354,26.00505543,67.24838863,30.09914231
125,NYK,42.40326814,24.59451467,Beno Udrih,46.80729035,15.53858689,59.04946361,20.04619452
126,HOU,23.22496677,23.11861044,Omri Casspi,46.8802295,16.38484452,43.46593417,23.22509524
127,LAL,,,Elias Harris,,,,
128,MIN,52.04813004,25.64251738,Ricard Rubio,52.21479074,11.89497427,52.44955857,13.42700022
129,BRK,82.0142195,26.22947453,Brook Robert Lopez,84.16374402,11.77968309,84.15822694,13.18403311
130,PHO,68.90248584,60.42344957,Anthony Leon Tucker,70.53515904,14.22544102,70.10827917,14.636861
131,POR,53.39664083,45.46854635,Meyers Leonard,51.69818924,14.43320558,54.19637013,15.22039229
132,BRK,46.90836326,25.68430084,Shaun Livingston,41.19138195,16.44803971,36.01942561,21.41539057
133,MEM,89.92258371,44.29531443,Konstantine Demetrios Koufos,63.33271883,31.45616802,47.98983137,44.67864164
134,ORL,72.9121789,27.32215246,Arron Agustin Afflalo,73.85774363,19.1977332,59.34840512,26.98046185
135,MEM,,,Jamaal Franklin,,,,
136,NYK,73.38308692,50.63963832,Kenyon Lee Martin,69.37556274,19.2432893,65.6490834,20.8039013
137,HOU,43.82760711,50.0606705,Terrence Alexander Jones,45.86731593,27.17810973,36.80379649,32.36278546
138,LAC,63.78611784,20.50769389,Aaron Jamal Crawford,67.87454999,11.67602257,70.14631227,14.20274228
139,UTA,67.24339133,26.92856536,Gordon Daniel Hayward,63.52994621,16.78167997,59.2522922,21.45806971
140,TOR,39.24892137,46.36005985,Quincy Jyrome Acy,30.8255751,19.95937178,32.22361622,22.11377238
141,UTA,25.27609822,26.2703824,Jamaal Tinsley,20.59107192,16.17254362,27.4524203,20.52238597
142,NOP,35.48011968,27.25083008,Brian Roberts,30.90533971,14.17261402,32.36476989,16.59328371
143,MIN,51.20374695,23.68880515,Corey Wayne Brewer,54.45220209,11.13285539,48.04155542,12.61247156
144,SAS,73.66257675,21.23565852,William Anthony Parker,67.74970803,9.007659733,67.78329623,9.946843662
145,ATL,36.23559757,33.78900591,Cartier Alexander Martin,34.24569236,16.91753612,31.50491536,19.54357774
146,DET,,,Peyton Siva,,,,
147,PHI,90.69597664,28.87176762,Thaddeus Charles Young,75.97313387,14.36492045,74.99362647,16.56013494
148,TOR,,,Dwight Buycks,,,,
149,BOS,59.98523292,34.9665704,Gerald Jermaine Wallace,71.18446775,16.90932788,81.2198494,19.31838659
150,POR,20.20552304,25.1996528,Earl Joseph Watson,26.25245864,14.95503076,40.52536629,18.58085925
151,CLE,140.9499704,133.3024222,Anderson Franca Varejao,104.3984809,88.35705691,119.7323634,118.0031692
152,NYK,87.8790061,25.31277605,Carmelo Kyam Anthony,85.6397982,10.01894031,84.01314126,10.90990548
153,MIN,,,Gorgui Sy Dieng,,,,
154,CLE,65.64041729,31.10865562,Alonzo Edward Gee,53.335899,16.02928419,58.80180398,18.7033092
155,SAC,72.94427128,45.05701792,Patrick Davell Patterson,58.58779337,16.36118008,59.29922286,17.55978037
156,POR,21.45853207,26.02840217,William Denard Barton,17.79445142,14.4904181,23.66400528,17.44355752
157,DEN,54.55079415,24.43825501,Andre Lloyd Miller,62.38254532,12.27260907,67.18611374,14.19195426
158,GSW,65.62981465,49.98420266,Andrew Michael Bogut,76.72311586,17.08685149,76.58441098,18.18221471
159,PHI,20.95785261,28.59340789,Daniel Joseph Orton,22.79424377,17.6792901,20.22527752,22.49437922
160,SAS,49.44471893,22.70543037,Emanuel David Ginobili,56.69084053,13.49144099,61.28784735,16.77369359
161,OKC,,,Andre Lee Roberson,,,,
162,WAS,61.02539195,22.56561166,Nene Hilario,75.70734062,16.62253147,74.52578372,24.57882604
163,BRK,45.57513825,30.03014828,Alan Jeffery Anderson,45.55239182,15.80562589,40.73416213,18.58865824
164,HOU,35.55764438,30.87529142,Francisco Alberto Garcia,48.17465536,16.28750325,50.76804754,19.17216204
165,CLE,54.64430591,44.60645435,Earl Rashad Clark,28.75194744,18.70783695,25.89973403,20.60782297
166,LAC,56.36412473,33.49077017,Antawn Cortez Jamison,64.71506404,16.77812847,77.10349574,19.38636629
167,GSW,91.87618528,28.1382204,David Lee,89.61583516,14.94038037,95.15628505,17.63096394
168,MIL,,,Giannis Antetokounmpo,,,,
169,MIL,,,Nate Wolters,,,,
170,MEM,42.47792398,28.92703593,Jerryd Andrew Bayless,32.50434139,15.44547124,33.52877914,18.26745154
171,ORL,62.15551325,41.11033767,Jason Dior Maxiell,58.84261833,19.58806869,62.03543101,22.27973344
172,LAC,68.10863519,34.9875038,Jared Anthony Dudley,65.35481653,21.95016636,68.4032454,28.18749456
173,DEN,89.68795115,39.41765815,James Edward Hickson,58.89064763,22.18758606,58.34972241,26.84407754
174,IND,26.52588273,26.68271934,Orlando Vincent Johnson,19.39090049,13.28744051,17.59996909,15.32242836
175,MEM,34.8895111,33.88149369,Michael Lloyd Miller,56.13995728,21.31198024,60.0562423,27.41468466
176,LAC,40.77507041,23.34369282,Willie J. Green,39.28280868,10.58393129,46.95563117,11.87458849
177,IND,,,Rasual Butler,,,45.76919719,26.06266545
178,SAC,54.05653109,62.77436815,Charles Edward Hayes Jr.,49.28062102,36.71158434,69.95962909,45.25787886
179,MIN,92.33046171,35.14359856,Nikola Pekovic,87.32455983,23.27811393,68.09634286,31.07163716
180,UTA,10.01633266,12.2799373,Diante Garrett,16.47207729,6.387558553,10.54150256,7.478985385
181,MEM,52.25512085,38.95352698,Quincy Coe Pondexter,36.36711004,16.55916289,37.57118514,18.2944628
182,DET,72.11578853,24.12046615,Joshua Smith,73.77100835,11.64308985,77.25773997,13.29449858
183,CLE,61.14958824,26.16755661,Jarrett Matthew Jack,54.53875454,12.3820883,57.29629029,14.05517043
184,ORL,64.82178567,44.07807898,Maurice Jose Harkless,63.20814404,19.25682886,64.38235279,21.40789828
185,DEN,19.68497055,24.46511014,Anthony Erwin Randolph Jr.,32.75048701,15.98971139,34.65973596,21.12625831
186,MIA,71.35182114,51.3307378,Shane Courtney Battier,75.27118638,19.18431578,78.18540085,20.68314516
187,NYK,54.12477641,40.41003099,Iman Asante Shumpert,52.46941979,12.88135519,51.46062911,13.59031647
188,NOP,43.61020216,27.41861996,Jason Victor Smith,55.62869355,16.76117187,41.20410897,21.17929628
189,MEM,,,Nick Calathes,,,,
190,GSW,69.85615274,25.34326223,Andre Tyler Iguodala,82.4761726,10.32991704,80.24831594,11.31226858
191,MIL,74.00921772,29.76765417,Ovinton J'Anthony Mayo,65.48504756,13.91413572,67.38361781,15.73938659
192,CHI,,,Tony Snell,,,,
193,CHA,58.36026039,50.09022179,Joshua Scott McRoberts,45.59267348,27.80701036,39.94598185,33.43161445
194,DEN,56.11647001,38.36649682,JaVale Lindy McGee,49.70511832,21.21669949,55.38827993,25.46470075
195,BRK,78.2596775,19.90838331,Deron Michael Williams,69.72942038,8.939777883,76.40262997,10.00525006
196,ORL,65.20878181,22.93425139,Jameer Nelson,58.62966412,10.85518286,59.9128225,12.32294555
197,CHA,94.42869545,114.0874837,Bismack Biyombo,78.30752251,28.00032867,77.87112366,28.88374745
198,MIA,86.76190137,29.53841177,Christopher Wesson Bosh,87.59529426,11.72087231,91.21858603,12.7691611
199,TOR,19.93566115,22.99832652,Julyan Ray Stone,13.49765009,9.972221956,14.41734397,11.06669156
200,ORL,31.5719895,40.11868462,Kyle Brandon O'Quinn,29.87496405,14.50622176,28.8326914,15.55893885
201,MIL,52.07278162,22.95991004,James Caron Butler,65.80288457,13.93322332,70.31975681,17.53011738
202,HOU,42.65415342,35.47821358,Patrick Beverley,46.15867357,10.57266301,42.91759149,11.07590213
203,GSW,54.09694929,25.9872432,Harrison Bryce Jordan Barnes,53.86444679,5.091135203,53.04732208,5.191740347
204,WAS,72.08411283,35.51695412,Martell Webster,71.11806086,19.5463765,61.89926146,23.41048567
205,BOS,55.43322806,46.4967239,Kris Nathan Humphries,49.25521472,25.14863895,56.48150445,29.89945937
206,GSW,37.70587729,24.9320717,Toney Bernard Douglas,36.45111344,15.37319915,40.09198927,19.52712753
207,TOR,52.86918985,39.81961794,Steven Michael Novak,30.7964919,18.66058957,32.21723726,21.12370708
208,LAL,58.14651743,39.45921434,Steven Hanson Blake,52.50067031,15.02321061,51.02097819,16.24680185
