Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Wed, Nov 11, 2009",NOH,104,PHX,124
"Wed, Nov 11, 2009",DAL,83,SAS,92
"Wed, Nov 11, 2009",CHI,89,TOR,99
"Thu, Nov 12, 2009",PHX,102,LAL,121
"Thu, Nov 12, 2009",CLE,111,MIA,104
"Fri, Nov 13, 2009",ATL,97,BOS,86
"Fri, Nov 13, 2009",LAL,79,DEN,105
"Fri, Nov 13, 2009",TOR,104,LAC,89
"Fri, Nov 13, 2009",DAL,89,MIN,77
"Fri, Nov 13, 2009",POR,86,NOH,78
"Fri, Nov 13, 2009",GSW,121,NYK,107
"Fri, Nov 13, 2009",BKN,72,ORL,88
"Fri, Nov 13, 2009",UTA,112,PHI,90
"Fri, Nov 13, 2009",HOU,100,SAC,109
"Sat, Nov 14, 2009",NOH,98,ATL,121
"Sat, Nov 14, 2009",POR,80,CHA,74
"Sat, Nov 14, 2009",PHI,88,CHI,94
"Sat, Nov 14, 2009",UTA,103,CLE,107
"Sat, Nov 14, 2009",BOS,104,IND,113
"Sat, Nov 14, 2009",MIN,87,MEM,97
"Sat, Nov 14, 2009",BKN,80,MIA,81
"Sat, Nov 14, 2009",GSW,125,MIL,129
"Sat, Nov 14, 2009",OKC,101,SAS,98
"Sat, Nov 14, 2009",DET,106,WAS,103
"Sun, Nov 15, 2009",DAL,95,DET,90
"Sun, Nov 15, 2009",HOU,101,LAL,91
"Sun, Nov 15, 2009",LAC,101,OKC,93
"Sun, Nov 15, 2009",TOR,100,PHX,101
"Mon, Nov 16, 2009",POR,95,ATL,99
"Mon, Nov 16, 2009",DAL,115,MIL,113
"Mon, Nov 16, 2009",CHA,91,ORL,97
"Tue, Nov 17, 2009",GSW,108,CLE,114
"Tue, Nov 17, 2009",TOR,112,DEN,130
"Tue, Nov 17, 2009",PHX,111,HOU,105
"Tue, Nov 17, 2009",DET,93,LAL,106
"Tue, Nov 17, 2009",OKC,100,MIA,87
"Tue, Nov 17, 2009",IND,91,BKN,83
"Tue, Nov 17, 2009",LAC,102,NOH,110
"Tue, Nov 17, 2009",CHI,101,SAC,87
"Wed, Nov 18, 2009",MIA,90,ATL,105
"Wed, Nov 18, 2009",GSW,95,BOS,109
"Wed, Nov 18, 2009",SAS,94,DAL,99
"Wed, Nov 18, 2009",NYK,110,IND,103
"Wed, Nov 18, 2009",LAC,91,MEM,106
"Wed, Nov 18, 2009",BKN,85,MIL,99
"Wed, Nov 18, 2009",HOU,97,MIN,84
"Wed, Nov 18, 2009",OKC,94,ORL,108
"Wed, Nov 18, 2009",CHA,84,PHI,86
"Wed, Nov 18, 2009",DET,81,POR,87
"Wed, Nov 18, 2009",TOR,91,UTA,104
"Wed, Nov 18, 2009",CLE,91,WAS,108
"Thu, Nov 19, 2009",CHI,93,LAL,108
"Thu, Nov 19, 2009",PHX,103,NOH,110
"Thu, Nov 19, 2009",UTA,90,SAS,83
"Fri, Nov 20, 2009",HOU,103,ATL,105
"Fri, Nov 20, 2009",ORL,83,BOS,78
"Fri, Nov 20, 2009",SAC,102,DAL,104
"Fri, Nov 20, 2009",POR,94,GSW,108
"Fri, Nov 20, 2009",CLE,105,IND,95
"Fri, Nov 20, 2009",DEN,99,LAC,106
"Fri, Nov 20, 2009",CHA,88,MIL,95
"Fri, Nov 20, 2009",WAS,108,OKC,127
"Fri, Nov 20, 2009",MEM,102,PHI,97
"Fri, Nov 20, 2009",MIA,113,TOR,120
"Sat, Nov 21, 2009",PHI,91,CLE,97
"Sat, Nov 21, 2009",CHI,93,DEN,112
"Sat, Nov 21, 2009",SAC,106,HOU,113
"Sat, Nov 21, 2009",MIL,103,MEM,98
"Sat, Nov 21, 2009",NYK,98,BKN,91
"Sat, Nov 21, 2009",ATL,88,NOH,96
"Sat, Nov 21, 2009",MIN,78,POR,106
"Sat, Nov 21, 2009",WAS,84,SAS,106
"Sat, Nov 21, 2009",DET,97,UTA,100
"Sun, Nov 22, 2009",IND,88,CHA,104
"Sun, Nov 22, 2009",OKC,85,LAL,101
"Sun, Nov 22, 2009",NOH,101,MIA,102
"Sun, Nov 22, 2009",BOS,107,NYK,105
"Sun, Nov 22, 2009",DET,91,PHX,117
"Sun, Nov 22, 2009",ORL,104,TOR,96
"Mon, Nov 23, 2009",MIN,87,LAC,91
"Mon, Nov 23, 2009",SAC,105,MEM,116
"Mon, Nov 23, 2009",CHI,98,POR,122
"Mon, Nov 23, 2009",MIL,98,SAS,112
"Tue, Nov 24, 2009",GSW,111,DAL,103
"Tue, Nov 24, 2009",BKN,87,DEN,101
"Tue, Nov 24, 2009",NYK,90,LAL,100
"Tue, Nov 24, 2009",IND,112,TOR,123
"Tue, Nov 24, 2009",OKC,104,UTA,94
